stop_no,stop_id,orig_stop_id,stop_name,stop_desc,stop_pnrtype,stop_used,stop_usedFG,stop_lat,stop_lon
      8168,74758     ,TLSBWD-  76              ,NE 132ND ST & 124TH AVE NE              ,                                        , 0, 1, 0,   47.718479, -122.175163
      8169,74760     ,TLSBWD-  76              ,NE 132ND ST & 121ST AVE NE              ,                                        , 0, 1, 0,   47.718403, -122.178665
      8170,74762     ,TLSBWD-  76              ,124TH AVE NE & NE 132ND ST              ,                                        , 0, 1, 0,   47.719769, -122.175400
      8171,74766     ,TLSBWD-  76              ,124TH AVE NE & NE 137TH PL              ,                                        , 0, 1, 0,   47.723766, -122.175484
      8172,74768     ,TLSBWD-  76              ,124TH AVE NE & NE 140TH ST              ,                                        , 0, 1, 0,   47.725918, -122.175484
      8173,74772     ,TLSBWD-  76              ,124TH AVE NE & NE 142ND PL              ,                                        , 0, 1, 0,   47.729095, -122.175491
      8174,74774     ,TLSBWD-  76              ,NE 144TH ST & 124TH AVE NE              ,                                        , 0, 1, 0,   47.731194, -122.174377
      8175,74776     ,TLSBWD-  76              ,NE 143RD ST & 128TH AVE NE              ,                                        , 0, 1, 0,   47.730587, -122.168785
      8176,74778     ,TLSBWD-  76              ,NE 143RD ST & 131ST AVE NE              ,                                        , 0, 1, 0,   47.730286, -122.165466
      8177,74782     ,TLSBWD-  76              ,132ND AVE NE & NE 140TH ST              ,                                        , 0, 1, 0,   47.726856, -122.164131
      8178,74783     ,TLSBWD-  76              ,132ND AVE NE & NE 136TH PL              ,                                        , 0, 1, 0,   47.723156, -122.164253
      8179,74785     ,TLSBWD-  76              ,RICHMOND BEACH DR NW & NW 196TH PL      ,                                        , 0, 0, 0,   47.770050, -122.391151
      8180,74850     ,TLSBWD-  76              ,NW 195TH ST & 20TH AVE NW               ,                                        , 0, 1, 0,   47.770565, -122.381851
      8181,74860     ,TLSBWD-  76              ,NW 195TH ST & 18TH AVE NW               ,                                        , 0, 1, 0,   47.770569, -122.379417
      8182,74870     ,TLSBWD-  76              ,NW RICHMOND BEACH RD & 15TH AVE NW      ,                                        , 0, 1, 0,   47.769886, -122.376877
      8183,74880     ,TLSBWD-  76              ,NW RICHMOND BEACH RD & NW 191ST ST      ,                                        , 0, 1, 0,   47.767479, -122.371986
      8184,74954     ,TLSBWD-  76              ,N 200TH ST & DAYTON AVE N               ,                                        , 0, 1, 0,   47.774204, -122.354034
      8185,74956     ,TLSBWD-  76              ,N 200TH ST & GREENWOOD AVE N            ,                                        , 0, 1, 0,   47.774204, -122.356743
