trip_no,trip_id,orig_trip_id,route_no,route_id,orig_route_id,route_short_name,route_long_name,route_desc,route_type,route_used,begin_time,end_time,mileage
         1,MADSC-EB  ,MADSC-EB                        236,100340A   ,100340A                  ,98A                                     ,                                        ,Madison Street Streetcar                , 0, 0, 9999.9902,-9999.9902,    0.0000
       117,21730938  ,21730938                          9,100132    ,100132                   ,24                                      ,                                        ,Magnolia via W Government Wy            , 3, 0, 9999.9902,-9999.9902,    0.0000
       118,21730951  ,21730951                        151,100023    ,100023                   ,124                                     ,                                        ,Tukwila - E Marginal - CBD              , 3, 0, 2372.6499, 2424.9167,   12.2808
       119,21730792  ,21730792                        151,100023    ,100023                   ,124                                     ,                                        ,Tukwila - E Marginal - CBD              , 3, 0, 9999.9902,-9999.9902,    0.0000
       120,21730800  ,21730800                        151,100023    ,100023                   ,124                                     ,                                        ,Tukwila - E Marginal - CBD              , 3, 0, 9999.9902,-9999.9902,    0.0000
       121,21730805  ,21730805                        151,100023    ,100023                   ,124                                     ,                                        ,Tukwila - E Marginal - CBD              , 3, 0, 9999.9902,-9999.9902,    0.0000
       122,21730811  ,21730811                        151,100023    ,100023                   ,124                                     ,                                        ,Tukwila - E Marginal - CBD              , 3, 0, 2401.8667, 2437.9668,    9.9443
       123,21730819  ,21730819                        151,100023    ,100023                   ,124                                     ,                                        ,Tukwila - E Marginal - CBD              , 3, 0, 9999.9902,-9999.9902,    0.0000
       124,21730836  ,21730836                        151,100023    ,100023                   ,124                                     ,                                        ,Tukwila - E Marginal - CBD              , 3, 0, 2457.3667, 2505.9333,   12.2808
       125,21730841  ,21730841                        151,100023    ,100023                   ,124                                     ,                                        ,Tukwila - E Marginal - CBD              , 3, 0, 2290.2334, 2292.6333,    0.3467
       126,21730848  ,21730848                        151,100023    ,100023                   ,124                                     ,                                        ,Tukwila - E Marginal - CBD              , 3, 0, 2080.2334, 2082.6333,    0.3467
       127,21730854  ,21730854                        151,100023    ,100023                   ,124                                     ,                                        ,Tukwila - E Marginal - CBD              , 3, 0, 1838.2334, 1840.6333,    0.3467
       128,21730860  ,21730860                        151,100023    ,100023                   ,124                                     ,                                        ,Tukwila - E Marginal - CBD              , 3, 0, 1631.5834, 1633.9833,    0.3467
       129,21730873  ,21730873                          9,100132    ,100132                   ,24                                      ,                                        ,Magnolia via W Government Wy            , 3, 0, 2505.9333, 2536.0500,    7.5617
       130,21730877  ,21730877                          9,100132    ,100132                   ,24                                      ,                                        ,Magnolia via W Government Wy            , 3, 0, 2300.9333, 2328.0500,    7.5617
       131,21730884  ,21730884                          9,100132    ,100132                   ,24                                      ,                                        ,Magnolia via W Government Wy            , 3, 0, 9999.9902,-9999.9902,    0.0000
       132,21730892  ,21730892                          9,100132    ,100132                   ,24                                      ,                                        ,Magnolia via W Government Wy            , 3, 0, 9999.9902,-9999.9902,    0.0000
       133,21730897  ,21730897                          9,100132    ,100132                   ,24                                      ,                                        ,Magnolia via W Government Wy            , 3, 0, 9999.9902,-9999.9902,    0.0000
       134,21730913  ,21730913                          9,100132    ,100132                   ,24                                      ,                                        ,Magnolia via W Government Wy            , 3, 0, 9999.9902,-9999.9902,    0.0000
       135,21730927  ,21730927                          9,100132    ,100132                   ,24                                      ,                                        ,Magnolia via W Government Wy            , 3, 0, 9999.9902,-9999.9902,    0.0000
