stop_no,stop_id,orig_stop_id,stop_name,stop_desc,stop_pnrtype,stop_used,stop_usedFG,stop_lat,stop_lon
       100,PNR   100^,TLSBWD-  76              ,PNRTibbetts Lot                         ,PNRTibbetts Lot                         , 2, 0, 0,   47.542042, -122.062271
       101,PNR   101^,TLSBWD-  76              ,PNRNorth Bend P&R                       ,PNRNorth Bend P&R                       , 3, 0, 0,   47.496014, -121.788116
       102,PNR   102^,TLSBWD-  76              ,PNRPreston P&R                          ,PNRPreston P&R                          , 2, 0, 0,   47.526947, -121.937172
       103,PNR   103^,TLSBWD-  76              ,PNRSammamish Hills Lutheran             ,PNRSammamish Hills Lutheran             , 3, 0, 0,   47.601868, -122.035370
       104,PNR   104^,TLSBWD-  76              ,PNRSouth Sammamish P&R                  ,PNRSouth Sammamish P&R                  , 2, 0, 0,   47.582409, -122.037064
       105,PNR   105^,TLSBWD-  76              ,PNRSnoqualmie Community Park            ,PNRSnoqualmie Community Park            , 3, 0, 0,   47.531609, -121.873825
       106,PNR   106^,TLSBWD-  76              ,PNRAll Saints Lutheran Church           ,PNRAll Saints Lutheran Church           , 3, 0, 0,   47.357731, -122.293114
       107,PNR   107^,TLSBWD-  76              ,PNRFamily Life Center Church of God     ,PNRFamily Life Center Church of God     , 3, 0, 0,   47.262421, -122.228416
       108,PNR   108^,TLSBWD-  76              ,PNRPeasley Canyon P&R                   ,PNRPeasley Canyon P&R                   , 2, 0, 0,   47.301868, -122.257355
       109,PNR   109^,TLSBWD-  76              ,PNRSunset Park                          ,PNRSunset Park                          , 3, 0, 0,   47.245770, -122.211601
       110,PNR   110^,TLSBWD-  76              ,PNRBlack Diamond Masonic Lodge          ,PNRBlack Diamond Masonic Lodge          , 3, 0, 0,   47.309101, -122.003487
       111,PNR   111^,TLSBWD-  76              ,PNRCornerstone United Methodist Church  ,PNRCornerstone United Methodist Church  , 3, 0, 0,   47.358105, -122.063759
       112,PNR   112^,TLSBWD-  76              ,PNRFarmers Park P&R                     ,PNRFarmers Park P&R                     , 3, 0, 0,   47.210190, -122.037827
       113,PNR   113^,TLSBWD-  76              ,PNRSacred Heart Church                  ,PNRSacred Heart Church                  , 3, 0, 0,   47.206596, -122.008408
       114,PNR   114^,TLSBWD-  76              ,PNRFederal Way/S 320th St P&R           ,PNRFederal Way/S 320th St P&R           , 2, 0, 0,   47.312496, -122.300545
       115,PNR   115^,TLSBWD-  76              ,PNRFederal Way Transit Center           ,PNRFederal Way Transit Center           , 2, 0, 0,   47.317524, -122.304825
       116,PNR   116^,TLSBWD-  76              ,PNROur Saviour's Baptist Church         ,PNROur Saviour's Baptist Church         , 3, 0, 0,   47.315159, -122.325150
       117,PNR   117^,TLSBWD-  76              ,PNRRedondo Heights P&R                  ,PNRRedondo Heights P&R                  , 2, 0, 0,   47.355396, -122.310059
       118,PNR   118^,TLSBWD-  76              ,PNRSouth Federal Way P&R                ,PNRSouth Federal Way P&R                , 2, 0, 0,   47.289379, -122.322273
       119,PNR   119^,TLSBWD-  76              ,PNRSt. Luke's Lutheran Church           ,PNRSt. Luke's Lutheran Church           , 3, 0, 0,   47.322407, -122.327225
       120,PNR   120^,TLSBWD-  76              ,PNRSunrise United Methodist Church      ,PNRSunrise United Methodist Church      , 3, 0, 0,   47.282948, -122.334633
       121,PNR   121^,TLSBWD-  76              ,PNRTwin Lakes P&R                       ,PNRTwin Lakes P&R                       , 2, 0, 0,   47.294117, -122.358994
       122,PNR   122^,TLSBWD-  76              ,PNREasthill Friends Church              ,PNREasthill Friends Church              , 3, 0, 0,   47.399750,  122.186752
       123,PNR   123^,TLSBWD-  76              ,PNRKent Covenant Church                 ,PNRKent Covenant Church                 , 2, 0, 0,   47.386951, -122.181412
       124,PNR   124^,TLSBWD-  76              ,PNRKent-Des Moines P&R                  ,PNRKent-Des Moines P&R                  , 2, 0, 0,   47.391933, -122.287567
       125,PNR   125^,TLSBWD-  76              ,PNRKent/James St P&R                    ,PNRKent/James St P&R                    , 2, 0, 0,   47.386684, -122.243286
       126,PNR   126^,TLSBWD-  76              ,PNRKent Station Transit Center          ,PNRKent Station Transit Center          , 2, 0, 0,   47.384583, -122.232971
       127,PNR   127^,TLSBWD-  76              ,PNRKent United Methodist Church         ,PNRKent United Methodist Church         , 3, 0, 0,   47.379719, -122.193871
       128,PNR   128^,TLSBWD-  76              ,PNRLake Meridian P&R                    ,PNRLake Meridian P&R                    , 2, 0, 0,   47.360947, -122.166229
       129,PNR   129^,TLSBWD-  76              ,PNRSt. Columba's Episcopal Church       ,PNRSt. Columba's Episcopal Church       , 3, 0, 0,   47.361721, -122.291885
       130,PNR   130^,TLSBWD-  76              ,PNRStar Lake P&R                        ,PNRStar Lake P&R                        , 2, 0, 0,   47.358711, -122.297829
       131,PNR   131^,TLSBWD-  76              ,PNRTukwila International Blvd Station   ,PNRTukwila International Blvd Station   , 2, 0, 0,   47.464169, -122.288033
       132,PNR   132^,TLSBWD-  76              ,PNRTukwila Interurban Investment        ,PNRTukwila Interurban Investment        , 2, 0, 0,   47.482475, -122.269218
       133,PNR   133^,TLSBWD-  76              ,PNRTukwila P&R                          ,PNRTukwila P&R                          , 2, 0, 0,   47.482475, -122.269218
       134,PNR   134^,TLSBWD-  76              ,PNREverett Station                      ,PNREverett Station                      , 1, 0, 0,   47.975037, -122.197151
       135,PNR   135^,TLSBWD-  76              ,PNRMukilteo Station                     ,PNRMukilteo Station                     , 2, 0, 0,   47.949120, -122.298805
       136,PNR   136^,TLSBWD-  76              ,PNREdmonds Station                      ,PNREdmonds Station                      , 2, 0, 0,   47.810558, -122.385170
       137,PNR   137^,TLSBWD-  76              ,PNRTukwila Station                      ,PNRTukwila Station                      , 2, 0, 0,   47.460472, -122.240433
       138,PNR   138^,TLSBWD-  76              ,PNRAuburn P&R                           ,PNRAuburn P&R                           , 2, 0, 0,   47.321106, -122.228020
       139,PNR   139^,TLSBWD-  76              ,PNRAuburn Station surface lot           ,PNRAuburn Station surface lot           , 2, 0, 0,   47.306393, -122.232300
       140,PNR   140^,TLSBWD-  76              ,PNRAuburn Station Garage                ,PNRAuburn Station Garage                , 2, 0, 0,   47.306393, -122.232300
       141,PNR   141^,TLSBWD-  76              ,PNRSumner Station                       ,PNRSumner Station                       , 2, 0, 0,   47.201263, -122.244911
       142,PNR   142^,TLSBWD-  76              ,PNRPuyallup                             ,PNRPuyallup                             , 2, 0, 0,   47.192726, -122.295799
       143,PNR   143^,TLSBWD-  76              ,PNRTacoma Dome Station                  ,PNRTacoma Dome Station                  , 2, 0, 0,   47.239365, -122.428444
       144,PNR   144^,TLSBWD-  76              ,PNRSouth Tacoma                         ,PNRSouth Tacoma                         , 2, 0, 0,   47.203884, -122.485611
       145,PNR   145^,TLSBWD-  76              ,PNRLakewood Station                     ,PNRLakewood Station                     , 1, 0, 0,   47.154526, -122.496696
       146,25        ,TLSBWD-  76              ,BLANCHARD ST & 1ST AVE                  ,                                        , 0, 0, 0,   47.612808, -122.344810
       147,60        ,TLSBWD-  76              ,1ST AVE & UNION ST                      ,                                        , 0, 1, 0,   47.607330, -122.338760
       148,70        ,TLSBWD-  76              ,1ST AVE & SENECA ST                     ,                                        , 0, 1, 0,   47.605740, -122.337318
       149,130       ,TLSBWD-  76              ,1ST AVE S & S JACKSON ST                ,                                        , 0, 1, 0,   47.599548, -122.334091
       150,150       ,TLSBWD-  76              ,1ST AVE & YESLER WAY                    ,                                        , 0, 1, 0,   47.602207, -122.334076
       151,170       ,TLSBWD-  76              ,1ST AVE & MARION ST                     ,                                        , 0, 1, 0,   47.604321, -122.335785
       152,180       ,TLSBWD-  76              ,1ST AVE & SENECA ST                     ,                                        , 0, 1, 0,   47.606079, -122.337379
       153,185       ,TLSBWD-  76              ,SENECA ST & 2ND AVE                     ,                                        , 0, 1, 0,   47.606941, -122.335403
       154,190       ,TLSBWD-  76              ,1ST AVE & UNIVERSITY ST                 ,                                        , 0, 1, 0,   47.607189, -122.338409
       155,200       ,TLSBWD-  76              ,1ST AVE & PINE ST                       ,                                        , 0, 1, 0,   47.609798, -122.340782
       156,220       ,TLSBWD-  76              ,1ST AVE & LENORA ST                     ,                                        , 0, 1, 0,   47.612099, -122.344200
       157,230       ,TLSBWD-  76              ,1ST AVE & BELL ST                       ,                                        , 0, 1, 0,   47.613663, -122.346848
       158,250       ,TLSBWD-  76              ,2ND AVE & BELL ST                       ,                                        , 0, 1, 0,   47.613705, -122.345253
       159,254       ,TLSBWD-  76              ,LENORA ST & 6TH AVE                     ,                                        , 0, 0, 0,   47.615288, -122.339584
       160,259       ,TLSBWD-  76              ,BLANCHARD ST & 4TH AVE                  ,                                        , 0, 1, 0,   47.614525, -122.342598
       161,260       ,TLSBWD-  76              ,2ND AVE & LENORA ST                     ,                                        , 0, 1, 0,   47.612164, -122.342628
       162,280       ,TLSBWD-  76              ,2ND AVE & STEWART ST                    ,                                        , 0, 1, 0,   47.610703, -122.340332
       163,300       ,TLSBWD-  76              ,2ND AVE & PIKE ST                       ,                                        , 0, 1, 0,   47.608646, -122.338432
       164,320       ,TLSBWD-  76              ,2ND AVE & SENECA ST                     ,                                        , 0, 1, 0,   47.606213, -122.336205
       165,340       ,TLSBWD-  76              ,2ND AVE & MARION ST                     ,                                        , 0, 1, 0,   47.604465, -122.334625
       166,360       ,TLSBWD-  76              ,2ND AVE & CHERRY ST                     ,                                        , 0, 1, 0,   47.603020, -122.333298
       167,361       ,TLSBWD-  76              ,2ND AVE & JAMES ST                      ,                                        , 0, 1, 0,   47.602478, -122.332809
       168,380       ,TLSBWD-  76              ,2 AVE EXT S & S WASHINGTON ST           ,                                        , 0, 0, 0,   47.600456, -122.330948
       169,390       ,TLSBWD-  76              ,2 AVE EXT S & S JACKSON ST              ,                                        , 0, 1, 0,   47.599266, -122.329857
