route_no,route_id,orig_route_id,route_short_name,route_long_name,route_desc,route_type,route_used
        96,100264    ,100264                   ,70                                      ,                                        ,University District                     , 3, 1
        97,100010    ,100010                   ,110                                     ,                                        ,Renton Shuttle                          , 3, 0
        98,100256    ,100256                   ,66                                      ,                                        ,S Mass to NTC                           , 3, 1
        99,100109    ,100109                   ,217                                     ,                                        ,Issaquah/CBD                            , 3, 0
       100,100447    ,100447                   ,49                                      ,                                        ,CBD-Cap Hill-U Dist                     , 3, 1
       101,100089    ,100089                   ,2                                       ,                                        ,Route 2                                 , 3, 1
       102,100070    ,100070                   ,179                                     ,                                        ,Twin Lakes P&R - Downtown               , 3, 1
       103,100048    ,100048                   ,153                                     ,                                        ,Kent/Renton Shuttle                     , 3, 1
       104,100071    ,100071                   ,18                                      ,                                        ,North Beach/Downtown                    , 3, 1
       105,100078    ,100078                   ,187                                     ,                                        ,Federal Way/Twin Lakes                  , 3, 1
       106,100196    ,100196                   ,331                                     ,                                        ,S03: Kenmore - SCC                      , 3, 1
       107,100508    ,100508                   ,823                                     ,                                        ,Cougar Mt/NewportHS/IntlHS 823          , 3, 0
       108,100161    ,100161                   ,27                                      ,                                        ,Yesler-Leschi Park                      , 3, 1
       109,100190    ,100190                   ,316                                     ,                                        ,Meridian Park express                   , 3, 0
       110,100195    ,100195                   ,330                                     ,                                        ,Lake City - Shoreline CC                , 3, 1
       111,100509    ,100509                   ,824                                     ,                                        ,Newcastle/Factoria/International School , 3, 0
       112,100214    ,100214                   ,372                                     ,                                        ,Woodinville/University                  , 3, 1
       113,100060    ,100060                   ,168                                     ,                                        ,Timberlane - Kent Rail Station          , 3, 1
       114,100254    ,100254                   ,65                                      ,                                        ,NTC to UW                               , 3, 1
       115,100136    ,100136                   ,245                                     ,                                        ,Factoria - Kirkland                     , 3, 1
       116,100493    ,100493                   ,224                                     ,                                        ,Fall City Redmond Shuttle               , 3, 1
       117,100042    ,100042                   ,148                                     ,                                        ,Fairwood--S.Renton Hub Shuttle.         , 3, 1
       118,100194    ,100194                   ,33                                      ,                                        ,Ft Lawton                               , 3, 1
       119,100258    ,100258                   ,661                                     ,                                        ,tripper storage shuttle                 , 3, 1
       120,100130    ,100130                   ,238                                     ,                                        ,UWB Bothell CC/KTC shuttle              , 3, 1
       121,100058    ,100058                   ,166                                     ,                                        ,Highline C C to Kent P&R                , 3, 1
       122,100026    ,100026                   ,128                                     ,                                        ,West Seattle-White Center to SouthCenter, 3, 1
       123,100279    ,100279                   ,84                                      ,                                        ,E Cherry/E Madison All Nighter          , 3, 1
       124,100489    ,100489                   ,156                                     ,                                        ,SeaTac - Southcenter                    , 3, 1
       125,100324    ,100324                   ,952                                     ,                                        ,Auburn P&R to Boeing Everett            , 3, 0
       126,100106    ,100106                   ,214                                     ,                                        ,Seattle - Issaquah 908                  , 3, 1
       127,100151    ,100151                   ,26                                      ,                                        ,Latona                                  , 3, 1
       128,100141    ,100141                   ,250                                     ,                                        ,Seattle/Overlake/Redmond                , 3, 1
       129,100047    ,100047                   ,152                                     ,                                        ,Enumclaw-Auburn-Star Lk. I-5 to C.B.D.  , 3, 0
       130,100268    ,100268                   ,74                                      ,                                        ,Sandpoint/U-Dist/CPS                    , 3, 1
       131,100223    ,100223                   ,43                                      ,                                        ,cbd/u-district                          , 3, 1
       132,100222    ,100222                   ,42                                      ,                                        ,Martin Luther King WY                   , 3, 1
       133,100028    ,100028                   ,13                                      ,                                        ,seattle pacific university              , 3, 1
       134,102574    ,102574                   ,40                                      ,                                        ,CBD-NGTC via Fremont & Ballard          , 3, 1
       135,100002    ,100002                   ,10                                      ,                                        ,capitol hill                            , 3, 1
       136,100271    ,100271                   ,77                                      ,                                        ,Jackson Park Express                    , 3, 1
       137,100251    ,100251                   ,601                                     ,                                        ,Group Health Coop - CBD                 , 3, 0
       138,100266    ,100266                   ,72                                      ,                                        ,Lake City                               , 3, 1
       139,100469    ,100469                   ,180                                     ,                                        ,Auburn  Kent  SeaTac  Burien            , 3, 1
       140,100471    ,100471                   ,161                                     ,                                        ,Lk Meridian - Seattle                   , 3, 0
       141,102552    ,102552                   ,226                                     ,                                        ,BTC Crossroads Eastgate Fall 11         , 3, 1
       142,100246    ,100246                   ,57                                      ,                                        ,Admiral Way/Genesee Hill                , 3, 0
       143,102578    ,102578                   ,61                                      ,                                        ,Ballard - North Beach Loop              , 3, 1
       144,100103    ,100103                   ,211                                     ,                                        ,Issa Hlnds PR\Eastgate\First Hill 911   , 3, 1
       145,100162    ,100162                   ,271                                     ,                                        ,Issaquah to U Dist                      , 3, 1
       146,100175    ,100175                   ,301                                     ,                                        ,Aurora Village-Downtown Seattle         , 3, 1
       147,100242    ,100242                   ,56                                      ,                                        ,Admiral Way/Alki                        , 3, 1
       148,100044    ,100044                   ,15                                      ,                                        ,Blue Ridge/Downtown                     , 3, 1
       149,100203    ,100203                   ,346                                     ,                                        ,Aurora Village - NTC                    , 3, 1
       150,100495    ,100495                   ,193                                     ,                                        ,Star Lk. to First Hill                  , 3, 1
       151,100023    ,100023                   ,124                                     ,                                        ,Tukwila - E Marginal - CBD              , 3, 1
       152,100041    ,100041                   ,143                                     ,                                        ,Maple Valley & Renton to C.B.D. Via Sr 9, 3, 0
       153,100270    ,100270                   ,76                                      ,                                        ,Wedgwood Express                        , 3, 1
       154,100262    ,100262                   ,688                                     ,                                        ,Center Park                             , 3, 0
       155,100094    ,100094                   ,203                                     ,                                        ,Shorewood Van Shuttle                   , 3, 1
       156,100128    ,100128                   ,236                                     ,                                        ,Woodinville/KTC shuttle                 , 3, 1
       157,100104    ,100104                   ,212                                     ,                                        ,Eastgate P & R Express (Tunnel)         , 3, 1
       158,100091    ,100091                   ,200                                     ,                                        ,Issaquah Shuttle                        , 3, 1
