route_id,service_id,trip_id
"100009","GTFPathDay","21542937"
"100009","GTFPathDay","21542699"
"100009","GTFPathDay","21542933"
"100009","GTFPathDay","21542700"
"100009","GTFPathDay","21542702"
"100009","GTFPathDay","21542705"
"100009","GTFPathDay","21542708"
"100009","GTFPathDay","21542934"
"100009","GTFPathDay","21542936"
"100009","GTFPathDay","21542939"
"100009","GTFPathDay","21542942"
"100009","GTFPathDay","21542960"
"100009","GTFPathDay","21542944"
"100019","GTFPathDay","21381417"
"100019","GTFPathDay","21381427"
"100019","GTFPathDay","21381471"
"100019","GTFPathDay","21381481"
"100019","GTFPathDay","21382385"
"100019","GTFPathDay","21381407"
"100019","GTFPathDay","21381408"
"100019","GTFPathDay","21381418"
"100019","GTFPathDay","21381428"
"100019","GTFPathDay","21381472"
"100019","GTFPathDay","21381482"
"100019","GTFPathDay","21382387"
"100019","GTFPathDay","21381410"
"100019","GTFPathDay","21381420"
"100019","GTFPathDay","21381430"
"100019","GTFPathDay","21381474"
"100019","GTFPathDay","21381484"
"100019","GTFPathDay","21381415"
"100019","GTFPathDay","21381425"
"100019","GTFPathDay","21381469"
"100019","GTFPathDay","21381479"
"100019","GTFPathDay","21381411"
"100019","GTFPathDay","21381421"
"100019","GTFPathDay","21381465"
"100019","GTFPathDay","21381475"
"100019","GTFPathDay","21381485"
"100019","GTFPathDay","21381488"
"100019","GTFPathDay","21381413"
"100019","GTFPathDay","21381423"
"100019","GTFPathDay","21381467"
"100019","GTFPathDay","21381477"
"100019","GTFPathDay","21381487"
"100019","GTFPathDay","21381406"
"100019","GTFPathDay","21381416"
"100019","GTFPathDay","21381426"
"100019","GTFPathDay","21381470"
"100019","GTFPathDay","21381480"
"100219","GTFPathDay","18151778"
"100219","GTFPathDay","18151784"
"100219","GTFPathDay","18151791"
"100002","GTFPathDay","21666950"
"100002","GTFPathDay","21666953"
"100002","GTFPathDay","21666957"
"100002","GTFPathDay","21666961"
"100002","GTFPathDay","21666965"
"100002","GTFPathDay","21666969"
"100002","GTFPathDay","21667016"
"100002","GTFPathDay","21667019"
"100002","GTFPathDay","21667023"
"100002","GTFPathDay","21667027"
"100002","GTFPathDay","21667031"
"100002","GTFPathDay","21667035"
"100002","GTFPathDay","21666947"
"100002","GTFPathDay","21666951"
"100002","GTFPathDay","21666955"
"100002","GTFPathDay","21666959"
"100002","GTFPathDay","21666963"
"100002","GTFPathDay","21666967"
"100002","GTFPathDay","21667021"
"100002","GTFPathDay","21667025"
"100002","GTFPathDay","21667029"
"100002","GTFPathDay","21667033"
"100002","GTFPathDay","21667037"
"100002","GTFPathDay","21667312"
"100275","GTFPathDay","21381890"
"100275","GTFPathDay","21380738"
"100275","GTFPathDay","21381931"
"100275","GTFPathDay","21381937"
"100275","GTFPathDay","21381942"
"100275","GTFPathDay","21381894"
"100275","GTFPathDay","21381934"
"100275","GTFPathDay","21381943"
"100275","GTFPathDay","21381950"
"100275","GTFPathDay","21381945"
"100228","GTFPathDay","21809610"
"100228","GTFPathDay","21809622"
"100228","GTFPathDay","21809633"
