stop_id,stop_name,stop_desc,stop_lat,stop_lon
"1920","LENORA ST & 4TH AVE","", 47.613972,-122.341293
"2010","10TH AVE W & W FULTON ST","", 47.645351,-122.370277
"2020","10TH AVE W & W BOTHWELL ST","", 47.643486,-122.370308
"2030","10TH AVE W & W HALLADAY ST","", 47.641792,-122.370171
"2050","10TH AVE W & W MCGRAW ST","", 47.639458,-122.370415
"2060","10TH AVE W & W CROCKETT ST","", 47.637589,-122.370438
"2070","10TH AVE W & W HOWE ST","", 47.635769,-122.370453
"2080","10TH AVE W & W BLAINE ST","", 47.634563,-122.370468
"2090","10TH AVE W & W GALER ST","", 47.632374,-122.370506
"2100","OLYMPIC WAY W & W LEE ST","", 47.630848,-122.369949
"2110","OLYMPIC WAY W & 9TH AVE W","", 47.629498,-122.368652
"2120","OLYMPIC WAY W & 7TH AVE W","", 47.627605,-122.366096
"2130","OLYMPIC WAY W & 5TH AVE W","", 47.626690,-122.363350
"2140","W OLYMPIC PL & 3RD AVE W","", 47.626659,-122.360306
"2150","W ROY ST & 2ND AVE W","", 47.625648,-122.358765
"2180","QUEEN ANNE AVE N & W HARRISON ST","", 47.621834,-122.356834
"2200","QUEEN ANNE AVE N & W JOHN ST","", 47.619213,-122.356850
"2210","1ST AVE & BAY ST","", 47.617958,-122.354469
"2212","BROAD ST & 2ND AVE","", 47.617786,-122.351250
"2218","BROAD ST & 2ND AVE","", 47.617680,-122.351662
"2220","3RD AVE & CEDAR ST","", 47.616871,-122.348625
"2235","DENNY WAY & WARREN PL","", 47.618530,-122.354225
"2240","DENNY WAY & BROAD ST","", 47.618515,-122.351128
"2245","DENNY WAY & 5TH AVE N","", 47.618504,-122.347878
"2247","DENNY WAY & 6TH AVE","", 47.618496,-122.345131
"2250","DENNY WAY & DEXTER AVE","", 47.618481,-122.342545
"2255","DENNY WAY & WESTLAKE AVE","", 47.618469,-122.338226
"2260","DENNY WAY & FAIRVIEW AVE","", 47.618462,-122.334457
"2262","DENNY WAY & STEWART ST","", 47.618427,-122.330925
"2265","E DENNY WAY & E OLIVE WAY","", 47.618420,-122.325829
"2275","E DENNY WAY & BELLEVUE AVE E","", 47.618565,-122.326645
"2280","DENNY WAY & STEWART ST","", 47.618572,-122.331673
"2285","DENNY WAY & FAIRVIEW AVE N","", 47.618603,-122.334213
"2291","DENNY WAY & WESTLAKE AVE","", 47.618607,-122.339020
"2295","DENNY WAY & DEXTER AVE N","", 47.618614,-122.342163
"2297","DENNY WAY & 6TH AVE N","", 47.618629,-122.345291
"2300","DENNY WAY & 5TH AVE N","", 47.618641,-122.347847
"2320","1ST AVE & BROAD ST","", 47.617218,-122.352859
"2330","1ST AVE N & DENNY WAY","", 47.618904,-122.355347
"2360","1ST AVE N & REPUBLICAN ST","", 47.623188,-122.355316
"2370","MERCER ST & QUEEN ANNE AVE N","", 47.624649,-122.356552
"2390","2ND AVE W & W ROY ST","", 47.625896,-122.359215
"2400","W OLYMPIC PL & 3RD AVE W","", 47.626793,-122.360535
"2410","W OLYMPIC PL & 5TH AVE W","", 47.626808,-122.363159
"2420","OLYMPIC WAY W & 7TH AVE W","", 47.627861,-122.366356
"2430","OLYMPIC WAY W & W PROSPECT ST","", 47.629059,-122.367981
"2440","OLYMPIC WAY W & W LEE ST","", 47.631279,-122.370110
"2450","10TH AVE W & W GALER ST","", 47.632504,-122.370308
"2460","10TH AVE W & W BLAINE ST","", 47.634956,-122.370262
"2470","10TH AVE W & W HOWE ST","", 47.636150,-122.370247
"2480","10TH AVE W & W CROCKETT ST","", 47.637974,-122.370224
"2490","10TH AVE W & W MCGRAW ST","", 47.639767,-122.370125
"2500","10TH AVE W & W HALLADAY ST","", 47.642193,-122.369965
"2510","10TH AVE W & W NEWELL ST","", 47.644455,-122.370087
"2520","9TH AVE W & W ARMOUR ST","", 47.645317,-122.369278
"2550","7TH AVE W & W PLEASANT PL","", 47.642761,-122.366341
"2570","W MCGRAW ST & 6TH AVE W","", 47.639523,-122.365318
"2580","6TH AVE W & W CROCKETT ST","", 47.637566,-122.365089
"2590","6TH AVE W & W HOWE ST","", 47.636024,-122.365097
"2600","6TH AVE W & W BLAINE ST","", 47.634525,-122.365128
"2610","6TH AVE W & W GALER ST","", 47.632458,-122.365158
"2620","W GALER ST & 5TH AVE W","", 47.632263,-122.362793
"2630","W GALER ST & 2ND AVE W","", 47.632252,-122.358833
"2640","QUEEN ANNE AVE N & W GALER ST","", 47.631836,-122.356697
"2650","QUEEN ANNE AVE N & W COMSTOCK ST","", 47.630489,-122.356712
"2660","QUEEN ANNE AVE N & W HIGHLAND DR","", 47.629612,-122.356728
"2670","QUEEN ANNE AVE N & W PROSPECT ST","", 47.628506,-122.356781
"2672","QUEEN ANNE AVE N & W MERCER ST","", 47.624306,-122.356819
"2680","QUEEN ANNE AVE N & W ALOHA ST","", 47.626888,-122.356796
"2690","1ST AVE N & MERCER ST","", 47.624737,-122.355309
"2710","QUEEN ANNE AVE N & ALOHA ST","", 47.627110,-122.356590
"2720","QUEEN ANNE AVE N & WARD ST","", 47.628319,-122.356575
"2730","QUEEN ANNE AVE N & HIGHLAND DR","", 47.629791,-122.356522
"2740","QUEEN ANNE AVE N & W LEE ST","", 47.631493,-122.356491
"2760","W GALER ST & 1ST AVE W","", 47.632389,-122.358627
"2770","W GALER ST & 3RD AVE W","", 47.632393,-122.361290
"2780","W GALER ST & 5TH AVE W","", 47.632393,-122.364037
"2790","6TH AVE W & W GARFIELD ST","", 47.633701,-122.364937
"2800","6TH AVE W & W HOWE ST","", 47.636162,-122.364899
"2810","6TH AVE W & W CROCKETT ST","", 47.637970,-122.364868
"2820","6TH AVE W & W MCGRAW ST","", 47.639839,-122.364853
"2830","6TH AVE W & W SMITH ST","", 47.641632,-122.364830
"2840","6TH AVE W & W RAYE ST","", 47.643002,-122.364815
"6710","GREENWOOD AVE N & N 103RD ST","", 47.703884,-122.355347
"6730","GREENWOOD AVE N & N 107TH ST","", 47.707172,-122.355377
"6740","GREENWOOD AVE N & N 110TH ST","", 47.708942,-122.355385
"6750","GREENWOOD AVE N & N 112TH ST","", 47.710777,-122.355400
"6770","GREENWOOD AVE N & N 117TH ST","", 47.714382,-122.355415
"6790","GREENWOOD AVE N & N 122ND ST","", 47.718048,-122.355431
"6800","GREENWOOD AVE N & N 125TH ST","", 47.719948,-122.355438
"6820","GREENWOOD AVE N & N 130TH ST","", 47.723675,-122.355453
"6840","GREENWOOD AVE N & N 134TH ST","", 47.726650,-122.355453
"6850","GREENWOOD AVE N & N 137TH ST","", 47.728973,-122.355453
"6870","GREENWOOD AVE N & N 143RD ST","", 47.732128,-122.355469
"6880","GREENWOOD AVE N & N 145TH ST","", 47.733524,-122.355469
"6940","N INNIS ARDEN WAY & GREENWOOD AVE N","", 47.745975,-122.357010
"6950","AURORA AVE N & N 145TH ST","", 47.733585,-122.345200
"6990","AURORA AVE N & N 135TH ST","", 47.726429,-122.345116
"7000","AURORA AVE N & N 130TH ST","", 47.722961,-122.345078
"7010","AURORA AVE N & N 125TH ST","", 47.718998,-122.345032
"7040","AURORA AVE N & N 115TH ST","", 47.711880,-122.344910
"7050","AURORA AVE N & 11200 BLOCK","", 47.710247,-122.344879
"7080","AURORA AVE N & N 105TH ST","", 47.704781,-122.344803
"7100","AURORA AVE N & N 100TH ST","", 47.701088,-122.344749
"7120","AURORA AVE N & N 95TH ST","", 47.697495,-122.344704
"7140","AURORA AVE N & N 90TH ST","", 47.693962,-122.344666
"7160","AURORA AVE N & N 85TH ST","", 47.689877,-122.344620
"7180","AURORA AVE N & N 80TH ST","", 47.686752,-122.344612
"7200","AURORA AVE N & N 76TH ST","", 47.683800,-122.344597
"7220","LINDEN AVE N & N 73RD ST","", 47.681629,-122.346710
"7240","LINDEN AVE N & N 68TH ST","", 47.678413,-122.347382
"7260","WOODLAND PL N & N 64TH ST","", 47.675056,-122.347763
"7350","STONE WAY N & N 45TH ST","", 47.661221,-122.342262
"7360","STONE WAY N & N 43RD ST","", 47.658962,-122.342369
"7380","STONE WAY N & N 40TH ST","", 47.655144,-122.342560
"7382","STONE WAY N & N 38TH ST","", 47.652451,-122.342697
"7400","BRIDGE WAY N & WHITMAN AVE N","", 47.653271,-122.345139
"7430","WALL ST & 5TH AVE","", 47.617432,-122.345345
"7479","BRIDGE WAY N & WHITMAN AVE N","", 47.652378,-122.346344
"7498","STONE WAY N & N 38TH ST","", 47.652939,-122.342468
"7500","STONE WAY N & N 40TH ST","", 47.655155,-122.342354
"7520","STONE WAY N & N 42ND ST","", 47.658264,-122.342209
"7530","STONE WAY N & N ALLEN PL","", 47.660576,-122.342079
"7630","WOODLAND PL N & N 64TH ST","", 47.675323,-122.347519
"7650","LINDEN AVE N & N 67TH ST","", 47.677998,-122.347176
"7670","LINDEN AVE N & N 72ND ST","", 47.681229,-122.346809
"7690","AURORA AVE N & N 76TH ST","", 47.683754,-122.344391
"7710","AURORA AVE N & N 80TH ST","", 47.687130,-122.344406
"7730","AURORA AVE N & N 85TH ST","", 47.690895,-122.344429
"7750","AURORA AVE N & N 91ST ST","", 47.694691,-122.344475
"7770","AURORA AVE N & N 95TH ST","", 47.698055,-122.344513
"7790","AURORA AVE N & N 100TH ST","", 47.701675,-122.344551
"7810","AURORA AVE N & N NORTHGATE WAY","", 47.705353,-122.344597
"7840","AURORA AVE N & 11200 BLOCK","", 47.710693,-122.344688
"7850","AURORA AVE N & N 115TH ST","", 47.713692,-122.344734
"7880","AURORA AVE N & N 125TH ST","", 47.719795,-122.344841
"7900","AURORA AVE N & N 130TH ST","", 47.723461,-122.344879
"7912","AURORA AVE N & N 135TH ST","", 47.727085,-122.344925
"7941","LINDEN AVE N & N 143RD ST","", 47.732559,-122.347641
"7950","62ND AVE S & S PRENTICE ST","", 47.508312,-122.256004
"7960","S PRENTICE ST & 64TH AVE S","", 47.508121,-122.253754
"7970","64TH AVE S & S RYAN ST","", 47.509659,-122.253441
"7980","64TH AVE S & S COOPER ST","", 47.511600,-122.253426
"8000","WATERS AVE S & S NORFOLK ST","", 47.513691,-122.254097
"8010","WATERS AVE S & S PILGRIM ST","", 47.515598,-122.256660
"8020","WATERS AVE S & S ROXBURY ST","", 47.516857,-122.258293
"8030","WATERS AVE S & S CARVER ST","", 47.518105,-122.259918
"8040","57TH AVE S & WATERS AVE S","", 47.519527,-122.261497
"8050","RAINIER AVE S & SEWARD PK AVE S","", 47.520100,-122.263481
"8070","RAINIER AVE S & 52ND AVE S","", 47.519917,-122.267807
"8080","RAINIER AVE S & S FISHER PL","", 47.521328,-122.269897
"8090","RAINIER AVE S & S HENDERSON ST","", 47.523224,-122.269890
"8100","RAINIER AVE S & CLOVERDALE PL S","", 47.525970,-122.269890
"8110","RAINIER AVE S & S ROSE ST","", 47.529728,-122.269890
"8140","RAINIER AVE S & S HOLDEN ST","", 47.533909,-122.269890
"8160","RAINIER AVE S & S OTHELLO ST","", 47.537373,-122.270271
"8175","RAINIER AVE S & S S FRONTENAC ST ST","", 47.540131,-122.271065
"8190","RAINIER AVE S & S HOLLY ST","", 47.542728,-122.272881
"8210","RAINIER AVE S & S GRAHAM ST","", 47.546032,-122.275856
"8231","RAINIER AVE S & S KENNY ST","", 47.549225,-122.276947
"8250","RAINIER AVE S & S ORCAS ST","", 47.551476,-122.277725
"8270","RAINIER AVE S & S BRANDON ST","", 47.553509,-122.279709
"8285","RAINIER AVE S & 39TH AVE S","", 47.556377,-122.283890
"8300","RAINIER AVE S & S EDMUNDS ST","", 47.558910,-122.285484
"8310","RAINIER AVE S & S ALASKA ST","", 47.561024,-122.287125
"8330","RAINIER AVE S & S GENESEE ST","", 47.564510,-122.288208
"8350","RAINIER AVE S & S ANDOVER ST","", 47.568546,-122.289574
"8360","RAINIER AVE S & 33RD AVE S","", 47.569969,-122.290924
"8380","RAINIER AVE S & S WALDEN ST","", 47.572899,-122.293877
"8400","RAINIER AVE S & S MOUNT BAKER BLVD","", 47.575809,-122.296089
"8401","RAINIER AVE S & S FOREST ST","", 47.577507,-122.297401
"8402","MT BAKER TC","", 47.577621,-122.297211
"8403","MT BAKER TC","", 47.577713,-122.297165
"8429","RAINIER AVE S & S BAYVIEW ST","", 47.581196,-122.300217
"8440","RAINIER AVE S & S WALKER ST","", 47.583931,-122.302315
"8450","RAINIER AVE S & S PLUM ST","", 47.585743,-122.303680
"8460","RAINIER AVE S & S GRAND ST","", 47.587112,-122.304710
"8485","RAINIER AVE S & I-90","", 47.590328,-122.307182
"8492","RAINIER AVE S & S NORMAN ST","", 47.593536,-122.309624
"8510","RAINIER AVE S & S DEARBORN ST","", 47.596130,-122.311623
"8530","S JACKSON ST & BOREN AVE S","", 47.599274,-122.314827
"8540","S JACKSON ST & 12TH AVE S","", 47.599125,-122.316772
"8570","RAINIER AVE S & S DEARBORN ST","", 47.596401,-122.312042
"8590","RAINIER AVE S & S CHARLES ST","", 47.594055,-122.310257
"8608","RAINIER AVE S & I-90","", 47.590176,-122.307289
"8620","RAINIER AVE S & S STATE ST","", 47.587524,-122.305252
"8641","RAINIER AVE S & S WALKER ST","", 47.583729,-122.302383
"8660","RAINIER AVE S & S BAYVIEW ST","", 47.580791,-122.300133
"8671","MARTIN L KING JR WAY S & S MCCLELLAN ST","", 47.578617,-122.296089
"8672","MARTIN L KING JR WAY S & S BAYVIEW ST","", 47.581547,-122.297058
"8681","RAINIER AVE S & S STEVENS ST","", 47.577087,-122.297302
"8690","RAINIER AVE S & ML KING JR WAY WAY S","", 47.576160,-122.296593
"8710","RAINIER AVE S & S WALDEN ST","", 47.572689,-122.293953
"2850","MADRONA PARK & LK WASHINGTON BLVD","", 47.612225,-122.281746
"2860","MADRONA DR & NEWPORT WAY","", 47.613262,-122.282372
"2870","MADRONA DR & E PINE ST","", 47.615211,-122.283791
