stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,geo_node_id,stop_code
385n0475,"87th St & Stevens Dr/Laramie Ave",,41.7342871,-87.7509941,,13167,13167
385n0485,"87th St & 51st Ave",,41.7343266,-87.7487028,,13169,13169
385n0495,"87th St & 50th Ave",,41.7343696,-87.7463726,,13171,13171
385n0505,"87th St & Lamon Ave",,41.7344073,-87.7434534,,13173,13173
385s0024,"135th St & Cicero Ave",,41.6472571,-87.7377261,,32926,32926
385s0027,"135th St & Town Center Dr/Kilpatrick Ave",,41.6472988,-87.7348895,,33302,33302
385s0030,"135th St & Kildare Ave",,41.6474415,-87.7257261,,13177,13177
385s0062,"Central Park Ave & 139th St",,41.6404073,-87.7083575,,13183,13183
385s0075,"127th St & Maple Ave",,41.6625928,-87.6853468,,13186,13186
385s0085,"127th St & Highland Ave",,41.6625533,-87.6876983,,13188,13188
385s0095,"127th St & California Ave",,41.6625046,-87.6901058,,13190,13190
385s0105,"127th St & Francisco Ave",,41.6624661,-87.6922968,,13192,13192
385s0110,"127th St & Sacramento Ave",,41.6624071,-87.6951033,,13193,13193
385s0120,"127th St & Kedzie Ave",,41.6622983,-87.7002496,,13194,13194
385s0130,"Homan Ave & 127th St",,41.6618715,-87.7046281,,13196,13196
385s0132,"Edison Ave & Wireton Rd",,41.6613638,-87.7017565,,32352,32352
385s0133,"Wireton Rd & 127th St",,41.6621391,-87.70233,,32353,32353
385s0135,"127th St & Ridgeway Ave",,41.6621121,-87.7131188,,13197,13197
385s0145,"127th St & Springfield Ave",,41.6620663,-87.7165026,,13199,13199
385s0150,"127th St & Pulaski Rd",,41.6620496,-87.7184393,,13200,13200
385s0170,"107th St & 86th Ave",,41.6964873,-87.8314241,,13204,13204
385s0180,"107th St & 84th Ave",,41.6965715,-87.8265441,,13206,13206
385s0185,"107th St & 83rd Ave",,41.6966265,-87.8242386,,13207,13207
385s0190,"107th St & 82nd Ave",,41.6966666,-87.821736,,13208,13208
385s0195,"107th St & 81st Ave",,41.6967078,-87.8193483,,13209,13209
385s0200,"Roberts Rd & 107th St",,41.6969978,-87.8171185,,13210,13210
385s0210,"Roberts Rd & 105th St",,41.700545,-87.8172508,,13212,13212
385s0260,"Roberts Rd & 95th St",,41.7188303,-87.8180101,,13222,13222
385s0270,"Roberts Rd & 93rd St",,41.7219083,-87.8181046,,13224,13224
385s0275,"Roberts Rd & 92nd St",,41.7240711,-87.8181848,,13225,13225
385s0280,"Roberts Rd & 91st St",,41.7260153,-87.8182799,,13226,13226
385s0290,"Roberts Rd & 89th St",,41.7296358,-87.8184031,,13228,13228
385s0300,"Roberts Rd & 87th St",,41.7324776,-87.8185956,,13230,13230
385s0305,"87th St & 79th Ave",,41.7332293,-87.8160288,,13231,13231
385s0310,"87th St & 78th Ave",,41.7333479,-87.8134643,,13232,13232
385s0320,"87th St & Oketo Ave",,41.7334998,-87.8038574,,13233,13233
385s0325,"87th St & Harlem Ave",,41.7335553,-87.7999798,,13234,13234
385s0340,"87th St & Sayre Ave",,41.7336544,-87.7940651,,13237,13237
385s0350,"87th St & New England Ave",,41.7337088,-87.7916913,,13239,13239
385s0355,"87th St & Oak Park Ave",,41.7337541,-87.7891973,,13240,13240
385s0360,"87th St & Normandy Ave",,41.733796,-87.7868246,,13241,13241
385s0365,"87th St & Natoma Ave",,41.7338383,-87.7844548,,13242,13242
385s0370,"87th St & Natchez Ave/Nashville Ave",,41.733894,-87.7818203,,13243,13243
385s0375,"87th St & State Rd/Narragansett Ave/Ridgeland Ave",,41.7339393,-87.7792306,,13244,13244
385s0390,"87th St & Melvina Ave/Moody Ave",,41.7340126,-87.7746883,,13247,13247
385s0400,"87th St & Meade Ave",,41.7340641,-87.7721706,,13249,13249
385s0410,"87th St & Austin Ave",,41.7340928,-87.7697951,,13251,13251
385s0415,"87th St & Mayfield Ave",,41.7341259,-87.7682373,,13252,13252
385s0425,"87th St & Menard Ave",,41.7341884,-87.7650126,,13254,13254
385s0430,"87th St & Major Ave",,41.7342355,-87.762553,,13255,13255
385s0435,"87th St & Central Ave",,41.7342858,-87.7598338,,13256,13256
385s0445,"87th St & Long Ave/53rd Ave",,41.7343506,-87.7559731,,13258,13258
385s0455,"87th St & Lockwood Ave",,41.7344131,-87.7527583,,13260,13260
385s0465,"87th St & Laramie Ave/Stevens Dr",,41.7344588,-87.7503628,,13262,13262
385s0480,"87th St & Leclaire Ave",,41.7344956,-87.7479276,,13265,13265
385s0485,"87th St & Lavergne Ave/49th Ct",,41.734538,-87.745531,,13266,13266
385s0495,"87th St & Cicero Ave (@ Lamon Ave)",,41.7345706,-87.7435731,,13268,13268
386n0003,"Cicero Ave & 63rd St",,41.7790603,-87.7421563,,13270,13270
386n0020,"63rd St & Latrobe Ave",,41.7782048,-87.7533668,,13275,13275
386n0040,"63rd St & Central Ave",,41.7780288,-87.7612128,,13279,13279
386n0055,"63rd St & Austin Ave",,41.7778066,-87.7717186,,13283,13283
386n0065,"63rd St & Narragansett Ave / Armon Schmidt Rd",,41.7776216,-87.7809993,,13287,13287
386n0085,"63rd St & Oak Park Ave",,41.7775001,-87.7912541,,13291,13291
386n0105,"Harlem Ave & 63rd St",,41.7771946,-87.8001268,,13295,13295
386n0110,"Harlem Ave & 65th St",,41.7746621,-87.8022501,,13296,13296
386n0115,"6955 Harlem Ave",,41.7667353,-87.8021471,,13297,13297
386n0120,"Harlem Ave & 71st St",,41.7623093,-87.8001481,,13298,13298
386n0125,"Harlem Ave & 72nd St",,41.7607393,-87.8000931,,13299,13299
386n0130,"Harlem Ave & 73rd St",,41.7588818,-87.800018,,13300,13300
386n0135,"Harlem Ave & 74th St",,41.7570466,-87.799947,,13301,13301
386n0140,"Harlem Ave & 75th St",,41.7552263,-87.7998765,,13302,13302
386n0145,"Harlem Ave & 76th St",,41.7534661,-87.7998151,,13303,13303
386n0150,"Harlem Ave & 77th St",,41.7515324,-87.7997275,,13304,13304
386n0155,"Harlem Ave & 78th St",,41.7498921,-87.7996633,,13305,13305
386n0160,"Harlem Ave & 79th St",,41.7488498,-87.7996141,,13306,13306
386n0165,"Harlem Ave & 80th St",,41.7460641,-87.7995653,,13307,13307
386n0170,"Harlem Ave & 81st St",,41.7441471,-87.7994828,,13308,13308
386n0175,"Harlem Ave & 82nd St",,41.7424848,-87.799413,,13309,13309
386n0180,"Harlem Ave & 83rd St",,41.7402435,-87.7993001,,13310,13310
386n0185,"Harlem Ave & 84th St",,41.7388306,-87.7992501,,13311,13311
386n0190,"Harlem Ave & 85th St",,41.7369821,-87.7991631,,13312,13312
386n0195,"Harlem Ave & 86th St",,41.7351876,-87.799091,,13313,13313
386n0200,"Harlem Ave & 87th St",,41.7341913,-87.7990261,,13314,13314
386n0205,"Southfield Plaza / 8761 Harlem Ave",,41.7313581,-87.7989128,,13315,13315
386n0210,"Harlem Ave & Hartford St",,41.7294283,-87.7988738,,13316,13316
386n0215,"Harlem Ave & Hanover St",,41.72866,-87.7988296,,13317,13317
386n0220,"Harlem Ave & 90th St / Cambridge St",,41.7278751,-87.7988141,,13318,13318
386n0225,"Harlem Ave & 91st St",,41.7262466,-87.7987741,,13319,13319
386n0230,"Harlem Ave & 92nd St / Southfield Dr",,41.72427,-87.798663,,13320,13320
386n0236,"Harlem Ave & Stanford Dr / 92nd Pl",,41.7238144,-87.7986511,,24000,24000
386n0290,"Harlem Ave & Frontage Ave",,41.7134268,-87.7982074,,13330,13330
386n0295,"Harlem Ave & 99th St",,41.7117416,-87.7981896,,13331,13331
386n0300,"Harlem Ave & 100th Pl",,41.7096979,-87.7981261,,13332,13332
386n0305,"100th Pl & Industrial Dr",,41.7091203,-87.8030146,,13333,13333
386n0310,"76th Ave & 100th Pl",,41.7088958,-87.8083178,,13334,13334
386n0315,"10220 S 76th Ave",,41.7061393,-87.8082629,,13335,13335
386n0319,"103rd St & 75th Ct",,41.7043528,-87.8065325,,13336,13336
386n0320,"103rd & 76th Ave / Terry Dr",,41.7043316,-87.8079855,,13337,13337
386n0321,"103rd St & 75th Ave / Concord Ln",,41.704393,-87.8048686,,13338,13338
386n0322,"103rd St & 74th Ave",,41.704413,-87.8031216,,13339,13339
386n0323,"103rd St & 73rd Ct",,41.7044353,-87.8015998,,13340,13340
386n0324,"103rd St & 73rd Ave",,41.704468,-87.8001411,,13341,13341
386n0325,"103rd St & Harlem Ave",,41.704499,-87.7989173,,13342,13342
386n0330,"Harlem Ave & 105th St",,41.7009563,-87.7977663,,13343,13343
386n0335,"Harlem Ave & Southwest Hwy",,41.6989463,-87.7977118,,13344,13344
